Feature,Importance
NDBI,0.30326352
Surface_Dryness,0.1622062
Water_Cooling_Index,0.11620231
Nighttime_Lights,0.09662301
NDWI,0.0512592
Water_Distance,0.037032615
Elevation_Cooling,0.03259652
Builtup_Green_Ratio,0.027124548
Hospital_Distance,0.023402894
Albedo,0.021637764
Residential_Density,0.01924063
NDVI,0.016069448
Elevation,0.014455543
LandCover,0.013548277
Road_Length,0.013368461
Industrial_Density,0.007489875
School_Distance,0.005793032
Metro_Distance,0.005368504
Aspect_Heat_Index,0.0044608135
Population_Heat_Exposure,0.0039825495
Population,0.003971195
Terrain_Heat_Index,0.0035433068
Aspect,0.003403088
Forest_Distance,0.0030502467
Slope,0.0029414487
Park_Distance,0.0026081763
Bus_Stop_Distance,0.0024349622
Emissivity,0.0014630969
Commercial_Density,0.0014587169
