Feature,Importance
NDBI,0.30012667
Surface_Dryness,0.16954727
Water_Cooling_Index,0.11639976
Nighttime_Lights,0.066683374
NDWI,0.048198074
Builtup_Green_Ratio,0.042244438
Building_Density,0.023578448
Water_Distance,0.020910155
Albedo,0.02004336
Elevation_Cooling,0.019469222
Hospital_Distance,0.017012442
Elevation,0.013577923
LandCover,0.013119477
Vegetation_Cooling_Potential,0.012872372
Residential_Density,0.012579076
Vegetation_Deficit,0.01104643
Road_Length,0.010931171
NDVI,0.01004517
Water_Influence,0.009238401
Urbanization_Score,0.009109928
Industrial_Density,0.008374485
Park_Distance,0.0053023607
School_Distance,0.0052853543
Aspect_Heat_Index,0.0045911022
Forest_Distance,0.004574041
Terrain_Heat_Index,0.0038496177
Population,0.0038033375
Population_Heat_Exposure,0.003077806
Metro_Distance,0.0030127587
Emissivity,0.002400837
Bus_Stop_Distance,0.0022458124
Aspect,0.0019968988
Commercial_Density,0.0015194013
Slope,0.001462377
Population_Normalized,0.0011107434
Relative_Elevation,0.000659802
