system:index,.geo,Latitude,Longitude,Predicted_LST
0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.43343001817658,12.800543641061122]}",12.800544,77.43343,33.550514
1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.44959969329072,12.800543641061122]}",12.800544,77.4496,35.807014
2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.45139632385897,12.800543641061122]}",12.800544,77.451396,35.415997
3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.48193904351903,12.800543641061122]}",12.800544,77.481939,36.337948
4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.49092219636023,12.800543641061122]}",12.800544,77.490922,35.74939
5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.5313463841456,12.800543641061122]}",12.800544,77.531346,38.12365
6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.53763459113445,12.800543641061122]}",12.800544,77.537635,32.898014
7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.54122785227092,12.800543641061122]}",12.800544,77.541228,37.883698
8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.54751605925976,12.800543641061122]}",12.800544,77.547516,38.644222
9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.57895709420394,12.800543641061122]}",12.800544,77.578957,33.647972
10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.59782171517045,12.800543641061122]}",12.800544,77.597822,32.098175
11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.62387285840991,12.800543641061122]}",12.800544,77.623873,35.97266
12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.64722905579703,12.800543641061122]}",12.800544,77.647229,35.934803
13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.65711052392234,12.800543641061122]}",12.800544,77.657111,33.5853
14,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.68585661301417,12.800543641061122]}",12.800544,77.685857,34.016193
15,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.68944987415064,12.800543641061122]}",12.800544,77.68945,34.32251
16,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.70022965756007,12.800543641061122]}",12.800544,77.70023,34.35793
17,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.70382291869656,12.800543641061122]}",12.800544,77.703823,34.90912
18,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.71370438682187,12.800543641061122]}",12.800544,77.713704,35.979336
19,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.72538248551542,12.800543641061122]}",12.800544,77.725382,34.727634
20,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.74155216062957,12.800543641061122]}",12.800544,77.741552,33.653778
21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.76311172744845,12.800543641061122]}",12.800544,77.763112,35.42373
22,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.76490835801668,12.800543641061122]}",12.800544,77.764908,34.650223
23,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.7658066733008,12.800543641061122]}",12.800544,77.765807,34.991333
24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.40288729851652,12.801441956345242]}",12.801442,77.402887,36.396084
25,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.46756599897311,12.801441956345242]}",12.801442,77.467566,38.77329
26,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.47924409766668,12.801441956345242]}",12.801442,77.479244,37.024704
27,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.53044806886149,12.801441956345242]}",12.801442,77.530448,36.119576
28,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.54571942869151,12.801441956345242]}",12.801442,77.545719,34.87998
29,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.57446551778334,12.801441956345242]}",12.801442,77.574466,29.789305
30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.61938128198932,12.801441956345242]}",12.801442,77.619381,33.4106
31,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.6274661195464,12.801441956345242]}",12.801442,77.627466,31.754532
32,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.65351726278585,12.801441956345242]}",12.801442,77.653517,32.589302
33,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.65711052392234,12.801441956345242]}",12.801442,77.657111,32.54348
34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.66699199204766,12.801441956345242]}",12.801442,77.666992,34.606644
35,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.69304313528711,12.801441956345242]}",12.801442,77.693043,34.11324
36,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.70651786454891,12.801441956345242]}",12.801442,77.706518,34.95597
37,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.71639933267423,12.801441956345242]}",12.801442,77.716399,35.898777
38,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.74873868290253,12.801441956345242]}",12.801442,77.748739,33.97797
39,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.7568235204596,12.801441956345242]}",12.801442,77.756824,29.247091
40,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.76850161915316,12.801441956345242]}",12.801442,77.768502,32.55299
